Hola,Hola 😄
Hola,Hola 😄
Me quiero suicidar,"Porfavor, ¡Detente!, permiteme ayudarte"
Hola,Hola 😄
hola,Hola 😄
me quiero suicidar,"Porfavor, ¡Detente!, permiteme ayudarte"
Discord,https://discord.gg/S8tp3fsZRp
Hola,Hola 😄
me quiero suicidar,"Porfavor, ¡Detente!, permiteme ayudarte"
como?,"Soy un Bot, no sabría responderte como me siento"
como?,"Te dejo la información hacia las instituciones que puedes contactar:
https://consejociudadanomx.org/index.php/es/

https://difchihuahua.gob.mx/tramite/29

https://www.facebook.com/SaludMentalyAdiccionesChih/

http://kari.gob.mx/instituto-chihuahuense-de-salud-mental/"
Hola,Hola 😄
